S.no,Name of the District,Name of the Primary Market Yard,Latitude,Longitude
163,Vikarabad,,17.25858333,77.58583333
164,Vikarabad,Vikarabad,17.34058333,77.90583333
165,Vikarabad,Marpally,17.54008333,77.7655555
166,Wanaparthy,Pebbair,16.206104,77.990399
167,Wanaparthy,Wanaparthy Town,16.360095,78.059636
168,Wanaparthy,Wanaparthy Road,16.382969,77.890369
169,Wanaparthy,Atmakur,16.383034,77.890293
170,Warangal (Rural),Wardhannapet,17.79642,79.59505
171,Warangal (Rural),Nekkonda,17.80041,79.80612
172,Warangal (Rural),Narsampet,17.92011,79.89688
173,Warangal (Rural),Athmakur,18.07184,79.71364
174,Warangal (Rural),Parkal,18.18633,79.70798
175,Warangal (Urban),Warangal,17.992563,79.633368
176,Yadadri Bhuvanagiri,Choutuppal,17.15146,78.53328
177,Yadadri Bhuvanagiri,Valigonda,17.22508,79.01147
178,Yadadri Bhuvanagiri,Mothkur,17.27262,79.15297
179,Yadadri Bhuvanagiri,Old Market Yard -   Gunj Bhongir,17.31131,78.53349
180,Yadadri Bhuvanagiri,New Main Yard - Bhongir,17.3118,78.52443
181,Yadadri Bhuvanagiri,Alair,17.38399,79.0313
